,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,1999-11-18,10:05:00,30.66,30.74,26.9087,30.74,30.66,227376,0,227376.0
1,1201669,1999-11-18,10:10:00,33.01,32.93,28.8258,33.01,32.85,719828,0,719828.0
2,1201670,1999-11-18,10:15:00,33.01,32.68,28.6069,33.01,32.68,1607223,0,1607220.0
3,1201671,1999-11-18,10:20:00,32.0,31.67,27.7228,32.0,31.67,1567299,0,1567300.0
4,1201672,1999-11-18,10:25:00,30.99,31.08,27.2063,31.08,30.99,174243,0,174243.0
5,1201673,1999-11-18,10:30:00,31.08,30.99,27.1275,31.08,30.99,991284,0,991284.0
6,1201674,1999-11-18,10:35:00,30.99,30.99,27.1275,31.08,30.91,1250424,0,1250420.0
7,1201675,1999-11-18,10:40:00,31.08,31.5,27.574,31.5,31.04,488740,0,488740.0
8,1201676,1999-11-18,10:45:00,32.0,31.5,27.574,32.05,31.5,241475,0,241475.0
9,1201677,1999-11-18,10:50:00,31.37,31.29,27.3902,31.46,31.25,330971,0,330971.0
10,1201678,1999-11-18,10:55:00,31.29,31.2,27.3114,31.29,31.2,514118,0,514118.0
11,1201679,1999-11-18,11:00:00,31.29,31.37,27.4602,31.41,31.29,384400,0,384400.0
12,1201680,1999-11-18,11:05:00,31.33,31.33,27.4252,31.37,31.29,394791,0,394791.0
13,1201681,1999-11-18,11:10:00,31.33,30.99,27.1275,31.33,30.99,566660,0,566660.0
14,1201682,1999-11-18,11:15:00,30.99,30.99,27.1275,31.08,30.99,424476,0,424476.0
15,1201683,1999-11-18,11:20:00,30.32,30.32,26.541,30.32,30.32,333941,0,333941.0
16,1201684,1999-11-18,11:25:00,30.07,28.3,24.7728,30.07,28.3,199177,0,199177.0
17,1201685,1999-11-18,11:30:00,28.21,27.46,24.0375,28.21,27.46,1066236,0,1066240.0
18,1201686,1999-11-18,11:35:00,27.46,27.79,24.3264,27.96,27.37,1073212,0,1073210.0
19,1201687,1999-11-18,11:40:00,27.88,28.13,24.624,28.13,27.79,484881,0,484881.0
20,1201688,1999-11-18,11:45:00,28.8,28.89,25.2893,29.22,28.8,666991,0,666991.0
21,1201689,1999-11-18,11:50:00,28.72,28.13,24.624,28.72,27.96,757526,0,757526.0
22,1201690,1999-11-18,11:55:00,28.13,28.05,24.554,28.21,27.71,697267,0,697267.0
23,1201691,1999-11-18,12:00:00,28.05,28.51,24.9566,28.59,27.96,401617,0,401617.0
24,1201692,1999-11-18,12:05:00,28.55,28.47,24.9216,28.55,28.13,542913,0,542913.0
25,1201693,1999-11-18,12:10:00,28.51,28.47,24.9216,28.59,28.38,290453,0,290453.0
26,1201694,1999-11-18,12:15:00,28.47,28.34,24.8078,28.47,28.13,317020,0,317020.0
27,1201695,1999-11-18,12:20:00,28.3,28.17,24.659,28.38,28.13,468258,0,468258.0
28,1201696,1999-11-18,12:25:00,28.17,28.17,24.659,28.3,28.17,134466,0,134466.0
29,1201697,1999-11-18,12:30:00,28.17,28.09,24.589,28.21,28.0,300546,0,300546.0
30,1201698,1999-11-18,12:35:00,28.09,28.13,24.624,28.26,28.05,120810,0,120810.0
31,1201699,1999-11-18,12:40:00,28.13,28.34,24.8078,28.42,28.13,292532,0,292532.0
32,1201700,1999-11-18,12:45:00,28.34,28.3,24.7728,28.34,28.26,323253,0,323253.0
33,1201701,1999-11-18,12:50:00,28.3,28.17,24.659,28.34,28.17,172608,0,172608.0
34,1201702,1999-11-18,12:55:00,28.26,28.21,24.694,28.26,28.17,29682,0,29682.0
35,1201703,1999-11-18,13:00:00,28.26,28.21,24.694,28.3,28.21,97806,0,97806.0
36,1201704,1999-11-18,13:05:00,28.26,28.3,24.7728,28.34,28.21,146635,0,146635.0
