,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,2005-09-27,09:35:00,21.05,21.05,20.0529,21.05,21.05,24300,0,24300.0
1,1201669,2005-09-27,09:40:00,21.05,21.3,20.291,21.4,21.05,70400,8300,78700.0
2,1201670,2005-09-27,09:45:00,21.3,21.11,20.11,21.3,21.1,4500,4900,9400.0
3,1201671,2005-09-27,09:50:00,21.02,20.9,19.91,21.02,20.85,6200,9500,15700.0
4,1201672,2005-09-27,09:55:00,20.85,20.85,19.8624,21.0,20.85,7300,2800,10100.0
5,1201673,2005-09-27,10:00:00,20.85,20.85,19.8624,20.86,20.8,1300,3500,4800.0
6,1201674,2005-09-27,10:05:00,20.85,20.8,19.8147,20.85,20.8,0,3000,3000.0
7,1201675,2005-09-27,10:10:00,20.8,20.62,19.6433,20.8,20.62,200,1900,2100.0
8,1201676,2005-09-27,10:15:00,20.62,20.59,19.6147,20.62,20.52,1700,2600,4300.0
9,1201677,2005-09-27,10:20:00,20.65,20.63,19.6528,20.7,20.59,1900,800,2700.0
10,1201678,2005-09-27,10:25:00,20.62,20.6,19.6242,20.66,20.6,200,1400,1600.0
11,1201679,2005-09-27,10:30:00,20.58,20.47,19.5004,20.58,20.47,0,1900,1900.0
12,1201680,2005-09-27,10:35:00,20.51,20.38,19.4146,20.51,20.38,4400,700,5100.0
13,1201681,2005-09-27,10:40:00,20.35,20.5,19.5289,20.5,20.35,1200,1200,2400.0
14,1201682,2005-09-27,10:45:00,20.5,20.5,19.5289,20.5,20.5,400,0,400.0
15,1201683,2005-09-27,10:55:00,20.45,20.42,19.4527,20.45,20.32,2200,2600,4800.0
16,1201684,2005-09-27,11:05:00,20.35,20.31,19.3479,20.35,20.31,0,800,800.0
17,1201685,2005-09-27,11:10:00,20.34,20.34,19.3765,20.42,20.31,1000,400,1400.0
18,1201686,2005-09-27,11:15:00,20.34,20.3,19.3384,20.34,20.3,0,3200,3200.0
19,1201687,2005-09-27,11:20:00,20.3,20.31,19.3479,20.31,20.3,100,1000,1100.0
20,1201688,2005-09-27,11:25:00,20.3,20.3,19.3384,20.3,20.3,0,1800,1800.0
21,1201689,2005-09-27,11:30:00,20.3,20.18,19.2241,20.3,20.18,0,4400,4400.0
22,1201690,2005-09-27,11:35:00,20.22,20.12,19.1669,20.22,20.12,900,7200,8100.0
23,1201691,2005-09-27,11:40:00,20.12,20.05,19.1003,20.12,20.0,300,3200,3500.0
24,1201692,2005-09-27,11:45:00,20.1,20.3,19.3384,20.3,20.1,5800,600,6400.0
25,1201693,2005-09-27,11:50:00,20.3,20.3,19.3384,20.3,20.3,1200,0,1200.0
26,1201694,2005-09-27,12:00:00,20.25,20.25,19.2908,20.25,20.25,0,400,400.0
27,1201695,2005-09-27,12:05:00,20.24,20.3,19.3384,20.3,20.24,19300,2000,21300.0
28,1201696,2005-09-27,12:10:00,20.24,20.25,19.2908,20.25,20.24,300,200,500.0
29,1201697,2005-09-27,12:15:00,20.25,20.25,19.2908,20.25,20.25,20700,0,20700.0
30,1201698,2005-09-27,12:20:00,20.25,20.25,19.2908,20.25,20.19,20400,1200,21600.0
31,1201699,2005-09-27,12:25:00,20.25,20.3,19.3384,20.3,20.25,19100,1200,20300.0
32,1201700,2005-09-27,12:30:00,20.3,20.35,19.386,20.35,20.3,20900,0,20900.0
33,1201701,2005-09-27,12:35:00,20.35,20.35,19.386,20.39,20.35,25400,1000,26400.0
34,1201702,2005-09-27,12:40:00,20.42,20.4,19.4337,20.46,20.35,21000,1000,22000.0
35,1201703,2005-09-27,12:45:00,20.45,20.45,19.4813,20.45,20.45,22300,0,22300.0
36,1201704,2005-09-27,12:50:00,20.44,20.45,19.4813,20.45,20.44,200,400,600.0
37,1201705,2005-09-27,12:55:00,20.45,20.45,19.4813,20.45,20.45,25800,0,25800.0
38,1201706,2005-09-27,13:00:00,20.46,20.48,19.5099,20.48,20.46,600,0,600.0
39,1201707,2005-09-27,13:05:00,20.48,20.5,19.5289,20.5,20.48,8400,0,8400.0
40,1201708,2005-09-27,13:10:00,20.5,20.5,19.5289,20.5,20.5,9100,0,9100.0
41,1201709,2005-09-27,13:15:00,20.53,20.67,19.6909,20.67,20.53,6300,0,6300.0
42,1201710,2005-09-27,13:20:00,20.59,20.6,19.6242,20.67,20.59,3500,7000,10500.0
43,1201711,2005-09-27,13:25:00,20.55,20.55,19.5766,20.59,20.55,600,3000,3600.0
44,1201712,2005-09-27,13:35:00,20.55,20.56,19.5861,20.56,20.55,1200,100,1300.0
45,1201713,2005-09-27,13:40:00,20.55,20.56,19.5861,20.56,20.55,1800,400,2200.0
46,1201714,2005-09-27,13:45:00,20.56,20.56,19.5861,20.59,20.56,5500,1700,7200.0
47,1201715,2005-09-27,13:50:00,20.56,20.6,19.6242,20.6,20.55,4500,2100,6600.0
48,1201716,2005-09-27,13:55:00,20.55,20.52,19.548,20.55,20.52,0,2900,2900.0
49,1201717,2005-09-27,14:00:00,20.52,20.51,19.5385,20.52,20.51,0,8100,8100.0
50,1201718,2005-09-27,14:05:00,20.5,20.5,19.5289,20.5,20.49,1100,2000,3100.0
51,1201719,2005-09-27,14:10:00,20.49,20.49,19.5194,20.49,20.49,0,100,100.0
52,1201720,2005-09-27,14:15:00,20.49,20.49,19.5194,20.49,20.49,0,2200,2200.0
53,1201721,2005-09-27,14:20:00,20.49,20.49,19.5194,20.49,20.49,0,600,600.0
54,1201722,2005-09-27,14:25:00,20.49,20.45,19.4813,20.49,20.45,0,7600,7600.0
55,1201723,2005-09-27,14:30:00,20.42,20.4,19.4337,20.42,20.4,0,6500,6500.0
56,1201724,2005-09-27,14:35:00,20.41,20.37,19.4051,20.41,20.37,200,1500,1700.0
57,1201725,2005-09-27,14:40:00,20.37,20.38,19.4146,20.38,20.37,1900,100,2000.0
58,1201726,2005-09-27,14:45:00,20.38,20.3,19.3384,20.38,20.3,11500,17200,28700.0
59,1201727,2005-09-27,14:50:00,20.29,20.27,19.3098,20.3,20.26,8200,800,9000.0
60,1201728,2005-09-27,14:55:00,20.27,20.26,19.3003,20.27,20.26,16600,900,17500.0
61,1201729,2005-09-27,15:00:00,20.27,20.27,19.3098,20.27,20.27,600,0,600.0
62,1201730,2005-09-27,15:05:00,20.27,20.27,19.3098,20.27,20.26,2500,800,3300.0
63,1201731,2005-09-27,15:15:00,20.27,20.23,19.2717,20.27,20.23,2500,20200,22700.0
64,1201732,2005-09-27,15:20:00,20.24,20.24,19.2813,20.24,20.23,1100,19900,21000.0
65,1201733,2005-09-27,15:25:00,20.2,20.12,19.1669,20.21,20.12,12400,5600,18000.0
66,1201734,2005-09-27,15:30:00,20.12,20.1,19.1479,20.13,20.09,12700,4700,17400.0
67,1201735,2005-09-27,15:35:00,20.11,20.06,19.1098,20.11,20.05,5500,15300,20800.0
68,1201736,2005-09-27,15:40:00,20.06,19.92,18.9764,20.06,19.91,7400,14200,21600.0
69,1201737,2005-09-27,15:45:00,19.91,19.79,18.8526,19.93,19.74,3700,10200,13900.0
70,1201738,2005-09-27,15:50:00,19.75,19.5,18.5763,19.75,19.45,64300,17700,82000.0
71,1201739,2005-09-27,15:55:00,19.48,19.45,18.5287,19.5,19.45,58700,12800,71500.0
72,1201740,2005-09-27,16:00:00,19.46,19.29,18.3763,19.46,19.2,62200,10100,72300.0
73,1201741,2005-09-28,09:35:00,19.3,19.3,18.3858,19.3,19.2,48500,4000,52500.0
74,1201742,2005-09-28,09:40:00,19.3,19.3,18.3858,19.31,19.3,448200,40700,488900.0
75,1201743,2005-09-28,09:45:00,19.3,19.4,18.481,19.48,19.3,217400,57700,275100.0
76,1201744,2005-09-28,09:50:00,19.4,19.36,18.4429,19.45,19.36,42800,36100,78900.0
77,1201745,2005-09-28,09:55:00,19.37,19.5,18.5763,19.58,19.37,192200,31600,223800.0
78,1201746,2005-09-28,10:00:00,19.55,19.56,18.6335,19.59,19.53,38600,18200,56800.0
79,1201747,2005-09-28,10:05:00,19.55,19.67,18.7383,19.7,19.51,121300,15400,136700.0
80,1201748,2005-09-28,10:10:00,19.67,19.6,18.6716,19.71,19.6,39600,17100,56700.0
81,1201749,2005-09-28,10:15:00,19.58,19.61,18.6811,19.61,19.56,17300,17500,34800.0
82,1201750,2005-09-28,10:20:00,19.61,19.57,18.643,19.61,19.57,2800,35100,37900.0
83,1201751,2005-09-28,10:25:00,19.57,19.47,18.5477,19.57,19.46,5700,42900,48600.0
84,1201752,2005-09-28,10:30:00,19.46,19.49,18.5668,19.54,19.46,37800,22000,59800.0
85,1201753,2005-09-28,10:35:00,19.49,19.75,18.8145,19.77,19.49,78500,7100,85600.0
86,1201754,2005-09-28,10:40:00,19.75,19.8,18.8621,19.8,19.71,121400,15600,137000.0
87,1201755,2005-09-28,10:45:00,19.8,19.78,18.843,19.83,19.77,31600,12600,44200.0
88,1201756,2005-09-28,10:50:00,19.78,19.81,18.8716,19.85,19.78,45500,19200,64700.0
89,1201757,2005-09-28,10:55:00,19.81,19.81,18.8716,19.83,19.79,49800,14200,64000.0
90,1201758,2005-09-28,11:00:00,19.79,19.83,18.8907,19.83,19.79,49700,75500,125200.0
91,1201759,2005-09-28,11:05:00,19.85,19.91,18.9669,19.92,19.83,142200,21200,163400.0
92,1201760,2005-09-28,11:10:00,19.9,20.1,19.1479,20.1,19.9,76900,16800,93700.0
93,1201761,2005-09-28,11:15:00,20.1,20.07,19.1193,20.13,20.0,23400,87200,110600.0
94,1201762,2005-09-28,11:20:00,20.05,20.11,19.1574,20.12,20.05,51700,18100,69800.0
95,1201763,2005-09-28,11:25:00,20.12,20.36,19.3956,20.36,20.12,162600,2300,164900.0
96,1201764,2005-09-28,11:30:00,20.36,20.35,19.386,20.4,20.35,39500,69000,108500.0
97,1201765,2005-09-28,11:35:00,20.37,20.23,19.2717,20.37,20.23,1400,19400,20800.0
98,1201766,2005-09-28,11:40:00,20.21,20.16,19.205,20.21,20.15,92100,22100,114200.0
99,1201767,2005-09-28,11:45:00,20.16,20.23,19.2717,20.24,20.16,41300,2600,43900.0
100,1201768,2005-09-28,11:50:00,20.24,20.38,19.4146,20.38,20.24,57100,51600,108700.0
101,1201769,2005-09-28,11:55:00,20.37,20.31,19.3479,20.39,20.31,44200,56400,100600.0
102,1201770,2005-09-28,12:00:00,20.31,20.53,19.5575,20.53,20.31,118200,3300,121500.0
103,1201771,2005-09-28,12:05:00,20.53,20.43,19.4623,20.53,20.43,67900,16100,84000.0
104,1201772,2005-09-28,12:10:00,20.43,20.46,19.4908,20.46,20.43,96000,3800,99800.0
105,1201773,2005-09-28,12:15:00,20.46,20.5,19.5289,20.5,20.46,101600,2800,104400.0
106,1201774,2005-09-28,12:20:00,20.49,20.45,19.4813,20.49,20.45,4000,8800,12800.0
107,1201775,2005-09-28,12:25:00,20.45,20.37,19.4051,20.46,20.3,135700,12300,148000.0
108,1201776,2005-09-28,12:30:00,20.37,20.32,19.3575,20.37,20.32,16300,22200,38500.0
109,1201777,2005-09-28,12:35:00,20.3,20.31,19.3479,20.33,20.28,35400,21100,56500.0
110,1201778,2005-09-28,12:40:00,20.32,20.35,19.386,20.35,20.31,7700,400,8100.0
111,1201779,2005-09-28,12:45:00,20.35,20.33,19.367,20.36,20.33,21100,5500,26600.0
112,1201780,2005-09-28,12:50:00,20.3,20.33,19.367,20.33,20.3,1100,94700,95800.0
113,1201781,2005-09-28,12:55:00,20.35,20.34,19.3765,20.36,20.33,20800,4300,25100.0
114,1201782,2005-09-28,13:00:00,20.35,20.36,19.3956,20.36,20.35,6800,1100,7900.0
115,1201783,2005-09-28,13:05:00,20.35,20.34,19.3765,20.36,20.33,47200,7300,54500.0
116,1201784,2005-09-28,13:10:00,20.33,20.26,19.3003,20.33,20.26,0,12300,12300.0
117,1201785,2005-09-28,13:15:00,20.25,20.26,19.3003,20.29,20.21,28900,5000,33900.0
118,1201786,2005-09-28,13:20:00,20.25,20.26,19.3003,20.26,20.25,22700,2100,24800.0
119,1201787,2005-09-28,13:25:00,20.25,20.28,19.3194,20.28,20.25,76000,13700,89700.0
120,1201788,2005-09-28,13:30:00,20.28,20.28,19.3194,20.28,20.27,158100,2000,160100.0
121,1201789,2005-09-28,13:35:00,20.27,20.27,19.3098,20.28,20.27,67200,3700,70900.0
122,1201790,2005-09-28,13:40:00,20.27,20.28,19.3194,20.28,20.27,3800,2300,6100.0
123,1201791,2005-09-28,13:45:00,20.27,20.26,19.3003,20.27,20.26,32500,2400,34900.0
