,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,2001-11-29,09:35:00,13.4,13.4,12.7562,13.4,13.4,7800,0,7800.0
1,1201669,2001-11-29,09:50:00,13.4,13.4,12.7562,13.4,13.4,300,0,300.0
2,1201670,2001-11-29,09:55:00,13.38,13.38,12.7371,13.38,13.38,0,3000,3000.0
3,1201671,2001-11-29,10:00:00,13.42,13.42,12.7752,13.42,13.42,2400,0,2400.0
4,1201672,2001-11-29,10:05:00,13.43,13.47,12.8228,13.47,13.43,10500,0,10500.0
5,1201673,2001-11-29,10:10:00,13.48,13.53,12.8799,13.53,13.48,9000,0,9000.0
6,1201674,2001-11-29,10:15:00,13.57,13.57,12.918,13.57,13.57,3600,0,3600.0
7,1201675,2001-11-29,10:20:00,13.63,13.77,13.1084,13.77,13.63,13500,2700,16200.0
8,1201676,2001-11-29,10:25:00,13.77,13.97,13.2988,13.97,13.77,24900,0,24900.0
9,1201677,2001-11-29,10:30:00,13.97,13.98,13.3083,13.98,13.97,2400,0,2400.0
10,1201678,2001-11-29,10:35:00,13.98,13.98,13.3083,13.98,13.98,6300,0,6300.0
11,1201679,2001-11-29,10:40:00,13.98,13.98,13.3083,13.98,13.98,1500,1800,3300.0
12,1201680,2001-11-29,10:45:00,13.98,13.98,13.3083,13.98,13.98,300,0,300.0
13,1201681,2001-11-29,10:50:00,14.0,14.0,13.3273,14.0,14.0,300,0,300.0
14,1201682,2001-11-29,10:55:00,13.98,13.98,13.3083,13.98,13.98,0,300,300.0
15,1201683,2001-11-29,11:05:00,13.97,13.93,13.2607,13.97,13.93,0,3900,3900.0
16,1201684,2001-11-29,11:10:00,13.9,13.9,13.2322,13.92,13.9,2700,5400,8100.0
17,1201685,2001-11-29,11:15:00,13.88,13.88,13.2131,13.88,13.88,0,3000,3000.0
18,1201686,2001-11-29,11:20:00,13.87,13.87,13.2036,13.87,13.87,0,900,900.0
19,1201687,2001-11-29,11:25:00,13.9,13.9,13.2322,13.9,13.9,600,0,600.0
20,1201688,2001-11-29,11:30:00,13.9,13.9,13.2322,13.9,13.9,600,0,600.0
21,1201689,2001-11-29,11:40:00,13.93,13.93,13.2607,13.93,13.93,1200,0,1200.0
22,1201690,2001-11-29,11:45:00,13.97,14.0,13.3273,14.0,13.97,9900,0,9900.0
23,1201691,2001-11-29,11:50:00,14.0,14.1,13.4225,14.1,14.0,36000,0,36000.0
24,1201692,2001-11-29,11:55:00,14.17,14.25,13.5653,14.25,14.17,21600,1200,22800.0
25,1201693,2001-11-29,12:00:00,14.25,14.4,13.7081,14.4,14.25,35700,9000,44700.0
26,1201694,2001-11-29,12:05:00,14.47,14.4,13.7081,14.47,14.4,14100,72000,86100.0
27,1201695,2001-11-29,12:10:00,14.4,14.4,13.7081,14.4,14.4,600,300,900.0
28,1201696,2001-11-29,12:15:00,14.4,14.4,13.7081,14.4,14.4,600,600,1200.0
29,1201697,2001-11-29,12:25:00,14.38,14.38,13.6891,14.38,14.38,0,1200,1200.0
30,1201698,2001-11-29,12:30:00,14.33,14.33,13.6415,14.33,14.33,0,1800,1800.0
31,1201699,2001-11-29,12:35:00,14.33,14.33,13.6415,14.33,14.33,0,3000,3000.0
32,1201700,2001-11-29,12:40:00,14.27,14.25,13.5653,14.27,14.25,0,15300,15300.0
33,1201701,2001-11-29,12:50:00,14.27,14.27,13.5844,14.27,14.27,1500,2700,4200.0
34,1201702,2001-11-29,12:55:00,14.27,14.27,13.5844,14.27,14.27,0,900,900.0
35,1201703,2001-11-29,13:25:00,14.26,14.26,13.5749,14.26,14.26,0,600,600.0
36,1201704,2001-11-29,13:35:00,14.23,14.23,13.5463,14.23,14.23,0,300,300.0
37,1201705,2001-11-29,13:40:00,14.2,14.2,13.5177,14.2,14.2,0,600,600.0
38,1201706,2001-11-29,13:45:00,14.17,14.17,13.4892,14.17,14.17,0,600,600.0
39,1201707,2001-11-29,14:10:00,14.18,14.18,13.4987,14.18,14.18,600,0,600.0
