,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,1998-01-02,09:35:00,0.49,0.48,0.420494,0.49,0.48,3749200,0,3749200.0
1,1201669,1998-01-02,09:40:00,0.49,0.49,0.429254,0.49,0.48,1100400,0,1100400.0
2,1201670,1998-01-02,09:45:00,0.49,0.49,0.429254,0.49,0.49,823200,0,823200.0
3,1201671,1998-01-02,09:50:00,0.49,0.49,0.429254,0.49,0.49,1654800,0,1654800.0
4,1201672,1998-01-02,09:55:00,0.49,0.49,0.429254,0.49,0.49,4197200,0,4197200.0
5,1201673,1998-01-02,10:00:00,0.49,0.49,0.429254,0.49,0.48,3500000,0,3500000.0
6,1201674,1998-01-02,10:05:00,0.49,0.49,0.429254,0.49,0.48,3385200,0,3385200.0
7,1201675,1998-01-02,10:10:00,0.49,0.49,0.429254,0.49,0.48,1134000,0,1134000.0
8,1201676,1998-01-02,10:15:00,0.48,0.49,0.429254,0.49,0.48,3878000,0,3878000.0
9,1201677,1998-01-02,10:20:00,0.49,0.49,0.429254,0.49,0.49,7621600,0,7621600.0
10,1201678,1998-01-02,10:25:00,0.49,0.5,0.438014,0.5,0.49,716800,0,716800.0
11,1201679,1998-01-02,10:30:00,0.49,0.5,0.438014,0.5,0.49,3707200,0,3707200.0
12,1201680,1998-01-02,10:35:00,0.5,0.51,0.446775,0.51,0.5,9231600,0,9231600.0
13,1201681,1998-01-02,10:40:00,0.51,0.52,0.455535,0.52,0.51,7033600,0,7033600.0
14,1201682,1998-01-02,10:45:00,0.52,0.52,0.455535,0.53,0.52,6778800,0,6778800.0
15,1201683,1998-01-02,10:50:00,0.52,0.53,0.464295,0.53,0.52,3306800,0,3306800.0
16,1201684,1998-01-02,10:55:00,0.53,0.52,0.455535,0.53,0.52,1545600,0,1545600.0
17,1201685,1998-01-02,11:00:00,0.52,0.52,0.455535,0.52,0.51,1254400,0,1254400.0
18,1201686,1998-01-02,11:05:00,0.52,0.52,0.455535,0.52,0.51,4659200,0,4659200.0
19,1201687,1998-01-02,11:10:00,0.52,0.52,0.455535,0.52,0.52,2730000,0,2730000.0
20,1201688,1998-01-02,11:15:00,0.52,0.52,0.455535,0.52,0.52,5577600,0,5577600.0
21,1201689,1998-01-02,11:20:00,0.52,0.52,0.455535,0.52,0.52,1993600,0,1993600.0
22,1201690,1998-01-02,11:25:00,0.52,0.52,0.455535,0.52,0.52,1290800,0,1290800.0
23,1201691,1998-01-02,11:30:00,0.52,0.52,0.455535,0.52,0.52,380800,0,380800.0
24,1201692,1998-01-02,11:35:00,0.52,0.52,0.455535,0.52,0.52,327600,0,327600.0
25,1201693,1998-01-02,11:40:00,0.52,0.52,0.455535,0.52,0.52,613200,0,613200.0
26,1201694,1998-01-02,11:45:00,0.52,0.52,0.455535,0.52,0.52,2853200,0,2853200.0
27,1201695,1998-01-02,11:50:00,0.52,0.52,0.455535,0.52,0.52,789600,0,789600.0
28,1201696,1998-01-02,11:55:00,0.52,0.52,0.455535,0.52,0.52,1072400,0,1072400.0
29,1201697,1998-01-02,12:00:00,0.52,0.52,0.455535,0.53,0.52,1458800,0,1458800.0
30,1201698,1998-01-02,12:05:00,0.52,0.52,0.455535,0.52,0.52,260400,0,260400.0
31,1201699,1998-01-02,12:10:00,0.52,0.53,0.464295,0.53,0.52,1324400,0,1324400.0
32,1201700,1998-01-02,12:15:00,0.53,0.53,0.464295,0.53,0.53,2427600,0,2427600.0
33,1201701,1998-01-02,12:20:00,0.53,0.53,0.464295,0.54,0.53,1408400,0,1408400.0
34,1201702,1998-01-02,12:25:00,0.53,0.54,0.473056,0.54,0.53,4298000,0,4298000.0
35,1201703,1998-01-02,12:30:00,0.54,0.54,0.473056,0.54,0.54,1814400,0,1814400.0
36,1201704,1998-01-02,12:35:00,0.54,0.54,0.473056,0.54,0.54,5079200,0,5079200.0
37,1201705,1998-01-02,12:40:00,0.54,0.54,0.473056,0.54,0.54,680400,0,680400.0
38,1201706,1998-01-02,12:45:00,0.54,0.54,0.473056,0.54,0.54,806400,0,806400.0
39,1201707,1998-01-02,12:50:00,0.54,0.54,0.473056,0.54,0.54,1010800,0,1010800.0
40,1201708,1998-01-02,12:55:00,0.54,0.54,0.473056,0.54,0.54,543200,0,543200.0
41,1201709,1998-01-02,13:00:00,0.54,0.54,0.473056,0.55,0.54,1951600,0,1951600.0
42,1201710,1998-01-02,13:05:00,0.55,0.54,0.473056,0.55,0.54,1968400,0,1968400.0
43,1201711,1998-01-02,13:10:00,0.54,0.54,0.473056,0.54,0.54,758800,0,758800.0
44,1201712,1998-01-02,13:15:00,0.54,0.54,0.473056,0.54,0.54,669200,0,669200.0
45,1201713,1998-01-02,13:20:00,0.54,0.54,0.473056,0.54,0.54,683200,0,683200.0
46,1201714,1998-01-02,13:25:00,0.54,0.54,0.473056,0.54,0.54,330400,0,330400.0
47,1201715,1998-01-02,13:30:00,0.54,0.55,0.481816,0.55,0.54,1498000,0,1498000.0
48,1201716,1998-01-02,13:35:00,0.55,0.55,0.481816,0.55,0.55,2100000,0,2100000.0
49,1201717,1998-01-02,13:40:00,0.55,0.55,0.481816,0.55,0.55,644000,0,644000.0
50,1201718,1998-01-02,13:45:00,0.55,0.55,0.481816,0.55,0.55,904400,0,904400.0
51,1201719,1998-01-02,13:50:00,0.55,0.55,0.481816,0.55,0.55,879200,0,879200.0
52,1201720,1998-01-02,13:55:00,0.55,0.55,0.481816,0.55,0.55,588000,0,588000.0
53,1201721,1998-01-02,14:00:00,0.55,0.55,0.481816,0.55,0.55,910000,0,910000.0
54,1201722,1998-01-02,14:05:00,0.55,0.55,0.481816,0.55,0.55,865200,0,865200.0
55,1201723,1998-01-02,14:10:00,0.55,0.56,0.490576,0.56,0.55,3172400,0,3172400.0
56,1201724,1998-01-02,14:15:00,0.56,0.56,0.490576,0.57,0.56,2998800,0,2998800.0
57,1201725,1998-01-02,14:20:00,0.57,0.56,0.490576,0.57,0.56,1442000,0,1442000.0
58,1201726,1998-01-02,14:25:00,0.56,0.56,0.490576,0.56,0.56,1120000,0,1120000.0
59,1201727,1998-01-02,14:30:00,0.56,0.55,0.481816,0.56,0.55,2046800,0,2046800.0
60,1201728,1998-01-02,14:35:00,0.55,0.55,0.481816,0.55,0.55,2612400,0,2612400.0
61,1201729,1998-01-02,14:40:00,0.55,0.55,0.481816,0.55,0.55,1181600,0,1181600.0
62,1201730,1998-01-02,14:45:00,0.55,0.55,0.481816,0.55,0.54,2156000,0,2156000.0
63,1201731,1998-01-02,14:50:00,0.54,0.55,0.481816,0.55,0.54,1803200,0,1803200.0
64,1201732,1998-01-02,14:55:00,0.54,0.54,0.473056,0.55,0.54,694400,0,694400.0
