,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,2013-01-02,09:35:00,34.92,34.62,26.8064,34.92,34.5,48832,38456,87288.0
1,1201669,2013-01-02,09:40:00,34.76,34.81,26.9535,34.86,34.63,46022,86358,132380.0
2,1201670,2013-01-02,09:45:00,34.81,35.2,27.2554,35.2,34.81,47958,31444,79402.0
3,1201671,2013-01-02,09:50:00,35.2,34.95,27.0619,35.2,34.8,245036,68085,313121.0
4,1201672,2013-01-02,09:55:00,34.83,34.65,26.8296,34.95,34.6,15699,18958,34657.0
5,1201673,2013-01-02,10:00:00,34.64,34.72,26.8838,34.83,34.6,31168,45082,76250.0
6,1201674,2013-01-02,10:05:00,34.72,34.7,26.8683,34.72,34.66,26018,35098,61116.0
7,1201675,2013-01-02,10:10:00,34.72,34.64,26.8218,34.72,34.6,47232,111863,159095.0
8,1201676,2013-01-02,10:15:00,34.63,34.7,26.8683,34.7,34.49,101444,51718,153162.0
9,1201677,2013-01-02,10:20:00,34.7,34.53,26.7367,34.7,34.49,47332,30901,78233.0
10,1201678,2013-01-02,10:25:00,34.53,34.49,26.7057,34.53,34.48,62296,39691,101987.0
11,1201679,2013-01-02,10:30:00,34.5,34.39,26.6283,34.51,34.38,73920,39531,113451.0
12,1201680,2013-01-02,10:35:00,34.39,34.29,26.5508,34.4,34.18,81609,67016,148625.0
13,1201681,2013-01-02,10:40:00,34.3,34.32,26.5741,34.36,34.28,38377,53539,91916.0
14,1201682,2013-01-02,10:45:00,34.34,34.37,26.6128,34.37,34.28,44997,53625,98622.0
15,1201683,2013-01-02,10:50:00,34.36,34.37,26.6128,34.42,34.36,78484,56681,135165.0
16,1201684,2013-01-02,10:55:00,34.37,34.28,26.5431,34.37,34.2,34051,40355,74406.0
17,1201685,2013-01-02,11:00:00,34.29,34.4,26.636,34.4,34.27,115611,48858,164469.0
18,1201686,2013-01-02,11:05:00,34.4,34.3,26.5586,34.4,34.24,67101,44084,111185.0
19,1201687,2013-01-02,11:10:00,34.3,34.37,26.6128,34.38,34.27,74193,116012,190205.0
20,1201688,2013-01-02,11:15:00,34.37,34.34,26.5895,34.37,34.27,107464,18471,125935.0
21,1201689,2013-01-02,11:20:00,34.33,34.25,26.5199,34.35,34.25,167217,41913,209130.0
22,1201690,2013-01-02,11:25:00,34.27,34.29,26.5508,34.3,34.23,45999,32974,78973.0
23,1201691,2013-01-02,11:30:00,34.29,34.35,26.5973,34.35,34.26,44603,28353,72956.0
24,1201692,2013-01-02,11:35:00,34.35,34.4,26.636,34.45,34.34,152546,26051,178597.0
25,1201693,2013-01-02,11:40:00,34.4,34.29,26.5508,34.4,34.25,92380,34297,126677.0
26,1201694,2013-01-02,11:45:00,34.3,34.34,26.5895,34.38,34.28,36599,58627,95226.0
27,1201695,2013-01-02,11:50:00,34.32,34.27,26.5353,34.34,34.12,37960,43600,81560.0
