,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,2001-07-19,10:00:00,15.1,15.05,11.4067,15.1,15.0,8258300,36100,8294400.0
1,1201669,2001-07-19,10:05:00,15.05,15.0,11.3688,15.05,15.0,127400,2506600,2634000.0
2,1201670,2001-07-19,10:10:00,15.0,15.02,11.384,15.05,15.0,292700,1408200,1700900.0
3,1201671,2001-07-19,10:15:00,15.01,15.04,11.3991,15.06,15.0,267100,755200,1022300.0
4,1201672,2001-07-19,10:20:00,15.03,15.0,11.3688,15.06,15.0,1213300,519500,1732800.0
5,1201673,2001-07-19,10:25:00,15.01,15.06,11.4143,15.12,15.0,1330400,197500,1527900.0
6,1201674,2001-07-19,10:30:00,15.1,15.16,11.4901,15.21,15.1,737100,143700,880800.0
7,1201675,2001-07-19,10:35:00,15.17,15.17,11.4977,15.2,15.14,219500,296300,515800.0
8,1201676,2001-07-19,10:40:00,15.17,15.24,11.5507,15.24,15.1,459700,160100,619800.0
9,1201677,2001-07-19,10:45:00,15.24,15.26,11.5659,15.28,15.23,557700,51600,609300.0
10,1201678,2001-07-19,10:50:00,15.25,15.21,11.528,15.29,15.15,213200,208400,421600.0
11,1201679,2001-07-19,10:55:00,15.21,15.13,11.4673,15.22,15.11,34600,303800,338400.0
12,1201680,2001-07-19,11:00:00,15.11,15.11,11.4522,15.13,15.1,89100,189000,278100.0
13,1201681,2001-07-19,11:05:00,15.11,15.11,11.4522,15.13,15.1,82400,373200,455600.0
14,1201682,2001-07-19,11:10:00,15.11,15.16,11.4901,15.2,15.1,564200,167900,732100.0
15,1201683,2001-07-19,11:15:00,15.15,15.15,11.4825,15.17,15.15,196600,157400,354000.0
16,1201684,2001-07-19,11:20:00,15.16,15.15,11.4825,15.17,15.15,83600,177100,260700.0
17,1201685,2001-07-19,11:25:00,15.16,15.12,11.4598,15.16,15.11,134200,168100,302300.0
18,1201686,2001-07-19,11:30:00,15.11,15.1,11.4446,15.12,15.1,15100,241100,256200.0
19,1201687,2001-07-19,11:35:00,15.1,15.1,11.4446,15.15,15.08,257200,196400,453600.0
20,1201688,2001-07-19,11:40:00,15.1,15.1,11.4446,15.11,15.09,188300,210600,398900.0
21,1201689,2001-07-19,11:45:00,15.1,15.11,11.4522,15.12,15.1,7300,225500,232800.0
22,1201690,2001-07-19,11:50:00,15.1,15.1,11.4446,15.11,15.1,12400,176600,189000.0
23,1201691,2001-07-19,11:55:00,15.11,15.13,11.4673,15.15,15.1,318800,150900,469700.0
24,1201692,2001-07-19,12:00:00,15.15,15.12,11.4598,15.15,15.11,6700,94100,100800.0
25,1201693,2001-07-19,12:05:00,15.12,15.13,11.4673,15.13,15.0,47300,305300,352600.0
26,1201694,2001-07-19,12:10:00,15.12,15.11,11.4522,15.13,15.11,173000,162500,335500.0
27,1201695,2001-07-19,12:15:00,15.12,15.12,11.4598,15.12,15.11,2100,147900,150000.0
28,1201696,2001-07-19,12:20:00,15.11,15.12,11.4598,15.12,15.11,7800,53000,60800.0
29,1201697,2001-07-19,12:25:00,15.11,15.13,11.4673,15.15,15.11,203300,75600,278900.0
30,1201698,2001-07-19,12:30:00,15.14,15.15,11.4825,15.15,15.13,169100,5100,174200.0
31,1201699,2001-07-19,12:35:00,15.15,15.15,11.4825,15.15,15.14,99100,26100,125200.0
32,1201700,2001-07-19,12:40:00,15.14,15.14,11.4749,15.16,15.14,36900,93600,130500.0
33,1201701,2001-07-19,12:45:00,15.15,15.16,11.4901,15.19,15.15,28700,119100,147800.0
34,1201702,2001-07-19,12:50:00,15.16,15.22,11.5356,15.22,15.16,375800,56900,432700.0
35,1201703,2001-07-19,12:55:00,15.18,15.18,11.5052,15.23,15.17,105600,50000,155600.0
36,1201704,2001-07-19,13:00:00,15.19,15.2,11.5204,15.25,15.19,45800,8100,53900.0
37,1201705,2001-07-19,13:05:00,15.21,15.23,11.5431,15.24,15.21,77400,116900,194300.0
38,1201706,2001-07-19,13:10:00,15.23,15.2,11.5204,15.23,15.19,62200,77600,139800.0
39,1201707,2001-07-19,13:15:00,15.2,15.16,11.4901,15.21,15.16,10700,127700,138400.0
40,1201708,2001-07-19,13:20:00,15.17,15.19,11.5128,15.22,15.16,94900,555100,650000.0
41,1201709,2001-07-19,13:25:00,15.19,15.18,11.5052,15.19,15.18,6500,3200,9700.0
42,1201710,2001-07-19,13:30:00,15.18,15.17,11.4977,15.18,15.17,1400,40400,41800.0
43,1201711,2001-07-19,13:35:00,15.18,15.19,11.5128,15.22,15.17,124600,19300,143900.0
44,1201712,2001-07-19,13:40:00,15.19,15.2,11.5204,15.2,15.18,197400,24700,222100.0
45,1201713,2001-07-19,13:45:00,15.2,15.19,11.5128,15.2,15.17,8900,64600,73500.0
46,1201714,2001-07-19,13:50:00,15.19,15.16,11.4901,15.19,15.16,6600,161100,167700.0
47,1201715,2001-07-19,13:55:00,15.15,15.15,11.4825,15.17,15.14,95200,153300,248500.0
48,1201716,2001-07-19,14:00:00,15.14,15.14,11.4749,15.16,15.14,5700,90700,96400.0
49,1201717,2001-07-19,14:05:00,15.15,15.17,11.4977,15.17,15.14,27900,20700,48600.0
50,1201718,2001-07-19,14:10:00,15.15,15.18,11.5052,15.18,15.15,76800,13100,89900.0
51,1201719,2001-07-19,14:15:00,15.15,15.16,11.4901,15.17,15.15,2900,63900,66800.0
52,1201720,2001-07-19,14:20:00,15.16,15.16,11.4901,15.17,15.15,76700,14500,91200.0
53,1201721,2001-07-19,14:25:00,15.16,15.15,11.4825,15.17,15.15,13700,143300,157000.0
54,1201722,2001-07-19,14:30:00,15.15,15.16,11.4901,15.17,15.15,204200,39300,243500.0
55,1201723,2001-07-19,14:35:00,15.15,15.15,11.4825,15.17,15.15,15500,211500,227000.0
56,1201724,2001-07-19,14:40:00,15.16,15.15,11.4825,15.16,15.14,13800,39100,52900.0
57,1201725,2001-07-19,14:45:00,15.14,15.15,11.4825,15.15,15.14,42300,68700,111000.0
58,1201726,2001-07-19,14:50:00,15.14,15.15,11.4825,15.16,15.14,43200,21100,64300.0
59,1201727,2001-07-19,14:55:00,15.14,15.15,11.4825,15.16,15.14,5100,45400,50500.0
60,1201728,2001-07-19,15:00:00,15.15,15.14,11.4749,15.15,15.14,181000,114400,295400.0
61,1201729,2001-07-19,15:05:00,15.14,15.14,11.4749,15.15,15.14,14300,60000,74300.0
62,1201730,2001-07-19,15:10:00,15.14,15.12,11.4598,15.15,15.12,327100,176700,503800.0
63,1201731,2001-07-19,15:15:00,15.13,15.13,11.4673,15.13,15.12,1700,369300,371000.0
64,1201732,2001-07-19,15:20:00,15.12,15.11,11.4522,15.13,15.11,350200,74100,424300.0
65,1201733,2001-07-19,15:25:00,15.11,15.11,11.4522,15.13,15.11,83200,80400,163600.0
66,1201734,2001-07-19,15:30:00,15.11,15.12,11.4598,15.12,15.1,149100,76500,225600.0
67,1201735,2001-07-19,15:35:00,15.12,15.15,11.4825,15.15,15.11,294900,42600,337500.0
68,1201736,2001-07-19,15:40:00,15.14,15.12,11.4598,15.15,15.12,114800,286000,400800.0
69,1201737,2001-07-19,15:45:00,15.13,15.11,11.4522,15.13,15.11,116000,62700,178700.0
70,1201738,2001-07-19,15:50:00,15.11,15.11,11.4522,15.12,15.1,182400,104600,287000.0
71,1201739,2001-07-19,15:55:00,15.12,15.11,11.4522,15.12,15.1,74200,216100,290300.0
72,1201740,2001-07-19,16:00:00,15.13,15.12,11.4598,15.13,15.11,107000,200500,307500.0
