,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,1998-01-02,09:35:00,17.95,17.95,11.8266,18.0,17.95,40354,0,40354.0
1,1201669,1998-01-02,09:40:00,17.95,17.95,11.8266,17.95,17.89,7656,0,7656.0
2,1201670,1998-01-02,09:45:00,17.89,18.0,11.8596,18.0,17.89,8506,0,8506.0
3,1201671,1998-01-02,09:50:00,18.0,18.0,11.8596,18.0,18.0,5225,0,5225.0
4,1201672,1998-01-02,09:55:00,17.95,17.84,11.7541,17.95,17.84,16894,0,16894.0
5,1201673,1998-01-02,10:00:00,17.84,17.84,11.7541,17.84,17.84,1458,0,1458.0
6,1201674,1998-01-02,10:05:00,17.84,17.74,11.6883,17.84,17.74,12276,0,12276.0
7,1201675,1998-01-02,10:10:00,17.74,17.74,11.6883,17.74,17.74,485,0,485.0
8,1201676,1998-01-02,10:15:00,17.74,17.74,11.6883,17.74,17.74,728,0,728.0
9,1201677,1998-01-02,10:20:00,17.69,17.64,11.6224,17.69,17.64,4132,0,4132.0
10,1201678,1998-01-02,10:25:00,17.64,17.59,11.5894,17.64,17.59,2917,0,2917.0
11,1201679,1998-01-02,10:30:00,17.64,17.64,11.6224,17.64,17.64,2187,0,2187.0
12,1201680,1998-01-02,10:35:00,17.64,17.64,11.6224,17.64,17.64,486,0,486.0
13,1201681,1998-01-02,10:40:00,17.64,17.64,11.6224,17.64,17.64,2066,0,2066.0
14,1201682,1998-01-02,10:50:00,17.64,17.69,11.6553,17.69,17.64,15315,0,15315.0
15,1201683,1998-01-02,11:00:00,17.69,17.69,11.6553,17.69,17.69,121,0,121.0
16,1201684,1998-01-02,11:05:00,17.69,17.74,11.6883,17.74,17.69,8873,0,8873.0
17,1201685,1998-01-02,11:10:00,17.69,17.74,11.6883,17.74,17.69,3887,0,3887.0
18,1201686,1998-01-02,11:15:00,17.69,17.69,11.6553,17.69,17.69,2187,0,2187.0
19,1201687,1998-01-02,11:20:00,17.69,17.69,11.6553,17.69,17.69,2552,0,2552.0
20,1201688,1998-01-02,11:25:00,17.69,17.69,11.6553,17.69,17.69,243,0,243.0
21,1201689,1998-01-02,11:30:00,17.74,17.74,11.6883,17.74,17.74,5834,0,5834.0
22,1201690,1998-01-02,11:35:00,17.74,17.74,11.6883,17.74,17.74,121,0,121.0
23,1201691,1998-01-02,11:40:00,17.69,17.69,11.6553,17.69,17.64,17744,0,17744.0
24,1201692,1998-01-02,11:45:00,17.64,17.64,11.6224,17.64,17.64,121,0,121.0
25,1201693,1998-01-02,11:55:00,17.69,17.64,11.6224,17.69,17.64,1944,0,1944.0
26,1201694,1998-01-02,12:00:00,17.64,17.64,11.6224,17.64,17.64,6320,0,6320.0
27,1201695,1998-01-02,12:05:00,17.69,17.69,11.6553,17.69,17.69,8751,0,8751.0
28,1201696,1998-01-02,12:10:00,17.69,17.69,11.6553,17.69,17.69,1579,0,1579.0
29,1201697,1998-01-02,12:15:00,17.69,17.64,11.6224,17.69,17.64,5469,0,5469.0
30,1201698,1998-01-02,12:20:00,17.69,17.64,11.6224,17.69,17.64,485,0,485.0
31,1201699,1998-01-02,12:25:00,17.69,17.69,11.6553,17.69,17.69,3037,0,3037.0
32,1201700,1998-01-02,12:30:00,17.64,17.79,11.7212,17.79,17.64,9723,0,9723.0
33,1201701,1998-01-02,12:35:00,17.74,17.79,11.7212,17.79,17.74,7292,0,7292.0
34,1201702,1998-01-02,12:40:00,17.79,17.79,11.7212,17.84,17.79,3767,0,3767.0
35,1201703,1998-01-02,12:45:00,17.84,17.79,11.7212,17.84,17.79,1093,0,1093.0
36,1201704,1998-01-02,12:50:00,17.79,17.74,11.6883,17.79,17.74,3645,0,3645.0
37,1201705,1998-01-02,12:55:00,17.69,17.74,11.6883,17.74,17.69,2674,0,2674.0
38,1201706,1998-01-02,13:05:00,17.74,17.74,11.6883,17.74,17.74,243,0,243.0
39,1201707,1998-01-02,13:15:00,17.69,17.69,11.6553,17.69,17.69,4010,0,4010.0
40,1201708,1998-01-02,13:20:00,17.74,17.74,11.6883,17.74,17.74,6806,0,6806.0
41,1201709,1998-01-02,13:25:00,17.69,17.74,11.6883,17.74,17.69,850,0,850.0
42,1201710,1998-01-02,13:30:00,17.74,17.74,11.6883,17.74,17.74,486,0,486.0
43,1201711,1998-01-02,13:35:00,17.69,17.69,11.6553,17.69,17.69,6563,0,6563.0
44,1201712,1998-01-02,13:45:00,17.69,17.69,11.6553,17.69,17.69,1458,0,1458.0
45,1201713,1998-01-02,13:55:00,17.74,17.74,11.6883,17.74,17.69,2673,0,2673.0
46,1201714,1998-01-02,14:00:00,17.74,17.69,11.6553,17.74,17.69,1093,0,1093.0
47,1201715,1998-01-02,14:05:00,17.64,17.53,11.5499,17.64,17.53,9479,0,9479.0
48,1201716,1998-01-02,14:10:00,17.59,17.59,11.5894,17.59,17.59,1701,0,1701.0
49,1201717,1998-01-02,14:15:00,17.53,17.53,11.5499,17.53,17.53,242,0,242.0
50,1201718,1998-01-02,14:20:00,17.59,17.59,11.5894,17.59,17.53,2552,0,2552.0
51,1201719,1998-01-02,14:25:00,17.59,17.59,11.5894,17.59,17.53,2065,0,2065.0
52,1201720,1998-01-02,14:35:00,17.59,17.53,11.5499,17.59,17.53,1336,0,1336.0
53,1201721,1998-01-02,14:40:00,17.59,17.53,11.5499,17.59,17.53,13491,0,13491.0
54,1201722,1998-01-02,14:45:00,17.53,17.59,11.5894,17.59,17.53,2309,0,2309.0
55,1201723,1998-01-02,14:50:00,17.59,17.53,11.5499,17.59,17.53,728,0,728.0
56,1201724,1998-01-02,14:55:00,17.53,17.53,11.5499,17.53,17.53,12155,0,12155.0
57,1201725,1998-01-02,15:00:00,17.53,17.53,11.5499,17.53,17.53,9965,0,9965.0
58,1201726,1998-01-02,15:05:00,17.53,17.53,11.5499,17.53,17.53,8508,0,8508.0
59,1201727,1998-01-02,15:10:00,17.53,17.53,11.5499,17.53,17.53,5469,0,5469.0
60,1201728,1998-01-02,15:15:00,17.53,17.53,11.5499,17.53,17.53,7170,0,7170.0
61,1201729,1998-01-02,15:20:00,17.59,17.59,11.5894,17.59,17.59,1215,0,1215.0
62,1201730,1998-01-02,15:25:00,17.59,17.64,11.6224,17.64,17.59,9721,0,9721.0
63,1201731,1998-01-02,15:30:00,17.69,17.69,11.6553,17.69,17.69,1215,0,1215.0
64,1201732,1998-01-02,15:35:00,17.79,17.79,11.7212,17.79,17.79,2430,0,2430.0
65,1201733,1998-01-02,15:40:00,17.79,17.79,11.7212,17.79,17.79,1215,0,1215.0
66,1201734,1998-01-02,15:45:00,17.84,17.84,11.7541,17.84,17.84,243,0,243.0
67,1201735,1998-01-02,15:50:00,17.84,17.79,11.7212,17.84,17.79,3646,0,3646.0
68,1201736,1998-01-02,15:55:00,17.79,17.84,11.7541,17.84,17.79,3888,0,3888.0
69,1201737,1998-01-02,16:00:00,17.79,17.79,11.7212,17.79,17.79,5590,0,5590.0
70,1201738,1998-01-05,09:35:00,17.79,18.0,11.8596,18.0,17.79,19811,0,19811.0
71,1201739,1998-01-05,09:40:00,18.0,18.05,11.8925,18.05,18.0,9358,0,9358.0
