,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,1998-01-02,09:35:00,24.16,24.16,15.893,24.18,24.16,59390,0,59390.0
1,1201669,1998-01-02,09:40:00,24.18,24.11,15.8601,24.18,24.11,6852,0,6852.0
2,1201670,1998-01-02,09:45:00,24.11,24.08,15.8404,24.11,24.08,19287,0,19287.0
3,1201671,1998-01-02,09:50:00,24.08,24.06,15.8273,24.11,24.06,2790,0,2790.0
4,1201672,1998-01-02,09:55:00,24.03,24.01,15.7944,24.03,23.98,11927,0,11927.0
5,1201673,1998-01-02,10:00:00,24.01,23.98,15.7746,24.01,23.98,1014,0,1014.0
6,1201674,1998-01-02,10:05:00,23.98,23.96,15.7615,23.98,23.96,11927,0,11927.0
7,1201675,1998-01-02,10:10:00,23.98,23.98,15.7746,24.01,23.96,14719,0,14719.0
8,1201676,1998-01-02,10:15:00,23.96,23.86,15.6957,23.96,23.86,21318,0,21318.0
9,1201677,1998-01-02,10:20:00,23.84,23.89,15.7154,23.89,23.81,11927,0,11927.0
10,1201678,1998-01-02,10:25:00,23.94,23.94,15.7483,23.94,23.94,10405,0,10405.0
11,1201679,1998-01-02,10:30:00,23.96,23.94,15.7483,23.96,23.94,61673,0,61673.0
12,1201680,1998-01-02,10:35:00,23.94,23.94,15.7483,23.94,23.94,1015,0,1015.0
13,1201681,1998-01-02,10:45:00,23.94,23.96,15.7615,23.96,23.94,5582,0,5582.0
14,1201682,1998-01-02,10:50:00,23.98,23.98,15.7746,23.98,23.98,1776,0,1776.0
15,1201683,1998-01-02,10:55:00,23.98,24.01,15.7944,24.01,23.98,18018,0,18018.0
16,1201684,1998-01-02,11:00:00,24.01,24.01,15.7944,24.01,24.01,253,0,253.0
17,1201685,1998-01-02,11:05:00,24.01,24.08,15.8404,24.08,24.01,18272,0,18272.0
18,1201686,1998-01-02,11:10:00,24.11,24.03,15.8075,24.11,24.03,28679,0,28679.0
19,1201687,1998-01-02,11:15:00,24.03,24.03,15.8075,24.03,24.03,8629,0,8629.0
20,1201688,1998-01-02,11:25:00,24.01,24.01,15.7944,24.01,24.01,2791,0,2791.0
21,1201689,1998-01-02,11:30:00,24.01,23.96,15.7615,24.01,23.96,17511,0,17511.0
22,1201690,1998-01-02,11:35:00,23.94,23.89,15.7154,23.94,23.89,12436,0,12436.0
23,1201691,1998-01-02,11:45:00,23.89,23.89,15.7154,23.89,23.89,51522,0,51522.0
