,id,date,time,open,high,low,close,up,down,close_adj,volume
0,1,2001-06-08,10:00:00,13.19,13.19,13.07,13.1,2187100,40000,12.717757928097932,2227100
1,2,2001-06-08,10:05:00,13.1,13.1,13.0,13.0,410200,24400,12.6206758065094,434600
2,3,2001-06-08,10:10:00,13.0,13.05,12.5,12.6,208500,633400,12.232347320155265,841900
3,4,2001-06-08,10:15:00,12.6,12.6,12.55,12.6,54300,5000,12.232347320155265,59300
4,5,2001-06-08,10:20:00,12.6,12.6,12.6,12.6,900,0,12.232347320155265,900
5,6,2001-06-08,10:35:00,12.7,12.7,12.55,12.6,40100,15000,12.232347320155265,55100
6,7,2001-06-08,10:40:00,12.5,12.5,12.5,12.5,0,20000,12.13526519856673,20000
7,8,2001-06-08,10:45:00,12.6,12.6,12.6,12.6,15000,0,12.232347320155265,15000
8,9,2001-06-08,11:05:00,12.6,12.6,12.6,12.6,300,0,12.232347320155265,300
9,10,2001-06-08,11:15:00,12.5,12.5,12.5,12.5,0,13400,12.13526519856673,13400
10,11,2001-06-08,11:25:00,12.5,12.5,12.5,12.5,0,8300,12.13526519856673,8300
11,12,2001-06-08,11:30:00,12.5,12.5,12.5,12.5,0,42000,12.13526519856673,42000
12,13,2001-06-08,11:35:00,12.5,12.5,12.5,12.5,0,2000,12.13526519856673,2000
13,14,2001-06-08,11:40:00,12.6,12.6,12.6,12.6,1000,0,12.232347320155265,1000
14,15,2001-06-08,11:45:00,12.5,12.5,12.5,12.5,0,802400,12.13526519856673,802400
15,16,2001-06-08,11:50:00,12.5,12.6,12.5,12.5,142800,156900,12.13526519856673,299700
16,17,2001-06-08,11:55:00,12.5,12.55,12.5,12.5,11300,293400,12.13526519856673,304700
17,18,2001-06-08,12:00:00,12.5,13.0,12.5,12.6,116400,40800,12.232347320155265,157200
18,19,2001-06-08,12:05:00,12.6,12.69,12.57,12.64,19900,19800,12.271180168790677,39700
19,20,2001-06-08,12:10:00,12.6,12.8,12.6,12.75,62100,6800,12.377970502538064,68900
20,21,2001-06-08,12:15:00,12.8,12.94,12.75,12.9,58100,36400,12.523593684920865,94500
21,22,2001-06-08,12:20:00,12.9,12.94,12.8,12.85,80800,15300,12.475052624126596,96100
22,23,2001-06-08,12:25:00,12.8,12.84,12.8,12.8,1300,17100,12.426511563332332,18400
23,24,2001-06-08,12:30:00,12.82,12.82,12.79,12.8,126500,5600,12.426511563332332,132100
24,25,2001-06-08,12:35:00,12.8,12.92,12.8,12.85,71400,2200,12.475052624126596,73600
25,26,2001-06-08,12:40:00,12.85,12.9,12.81,12.85,37500,55600,12.475052624126596,93100
26,27,2001-06-08,12:45:00,12.81,12.85,12.81,12.85,18400,54900,12.475052624126596,73300
27,28,2001-06-08,12:50:00,12.81,12.82,12.81,12.81,200,38800,12.436219775491184,39000
28,29,2001-06-08,12:55:00,12.81,12.9,12.81,12.85,19800,33300,12.475052624126596,53100
29,30,2001-06-08,13:00:00,12.9,13.03,12.9,12.92,167900,19700,12.543010109238567,187600
30,31,2001-06-08,13:05:00,12.92,13.0,12.83,13.0,81300,5700,12.6206758065094,87000
31,32,2001-06-08,13:10:00,13.0,13.1,13.0,13.04,8700,6600,12.65950865514481,15300
32,33,2001-06-08,13:15:00,13.0,13.15,13.0,13.15,36000,52800,12.7662989888922,88800
33,34,2001-06-08,13:20:00,13.14,13.15,13.0,13.09,44000,5800,12.708049715939078,49800
34,35,2001-06-08,13:25:00,13.02,13.1,13.02,13.02,10200,6500,12.640092230827104,16700
35,36,2001-06-08,13:30:00,13.02,13.05,13.0,13.0,4900,12600,12.6206758065094,17500
36,37,2001-06-08,13:35:00,13.02,13.04,12.98,13.04,5500,2300,12.65950865514481,7800
37,38,2001-06-08,13:40:00,13.02,13.1,13.0,13.1,4600,3800,12.717757928097932,8400
38,39,2001-06-08,13:45:00,13.0,13.05,13.0,13.0,8600,126500,12.6206758065094,135100
39,40,2001-06-08,13:50:00,13.0,13.01,13.0,13.0,300,7500,12.6206758065094,7800
40,41,2001-06-08,13:55:00,13.0,13.05,13.0,13.0,10000,5000,12.6206758065094,15000
41,42,2001-06-08,14:00:00,13.05,13.09,13.0,13.05,11100,2500,12.669216867303664,13600
42,43,2001-06-08,14:05:00,13.09,13.15,13.03,13.15,48000,11300,12.7662989888922,59300
43,44,2001-06-08,14:10:00,13.1,13.1,13.01,13.05,22200,17900,12.669216867303664,40100
44,45,2001-06-08,14:15:00,13.05,13.07,13.05,13.05,500,19100,12.669216867303664,19600
45,46,2001-06-08,14:20:00,13.05,13.05,13.02,13.05,1000,1600,12.669216867303664,2600
46,47,2001-06-08,14:25:00,13.0,13.0,12.95,13.0,61000,163400,12.6206758065094,224400
47,48,2001-06-08,14:30:00,13.0,13.05,13.0,13.0,7500,2000,12.6206758065094,9500
48,49,2001-06-08,14:35:00,13.0,13.05,13.0,13.01,15200,3700,12.63038401866825,18900
49,50,2001-06-08,14:40:00,13.0,13.04,13.0,13.04,7600,12100,12.65950865514481,19700
50,51,2001-06-08,14:45:00,13.01,13.15,13.01,13.13,14900,9100,12.746882564574491,24000
51,52,2001-06-08,14:50:00,13.09,13.23,13.07,13.23,9600,9300,12.843964686163028,18900
52,53,2001-06-08,14:55:00,13.23,13.27,13.23,13.26,132700,10000,12.873089322639586,142700
53,54,2001-06-08,15:00:00,13.26,13.27,13.25,13.25,900,61500,12.863381110480733,62400
54,55,2001-06-08,15:05:00,13.25,13.35,13.25,13.25,6500,47500,12.863381110480733,54000
55,56,2001-06-08,15:10:00,13.35,13.35,13.2,13.27,1400,33300,12.882797534798438,34700
56,57,2001-06-08,15:15:00,13.2,13.2,13.16,13.16,0,15800,12.776007201051051,15800
57,58,2001-06-08,15:20:00,13.16,13.25,13.16,13.25,9300,22100,12.863381110480733,31400
58,59,2001-06-08,15:25:00,13.25,13.3,13.25,13.26,1400,600,12.873089322639586,2000
59,60,2001-06-08,15:30:00,13.29,13.4,13.29,13.4,8200,500,13.009004292863532,8700
60,61,2001-06-08,15:35:00,13.4,13.5,13.3,13.5,16600,11000,13.106086414452069,27600
61,62,2001-06-08,15:40:00,13.59,13.65,13.4,13.65,26200,5900,13.251709596834868,32100
62,63,2001-06-08,15:45:00,14.0,14.0,13.51,13.75,43100,18100,13.348791718423405,61200
63,64,2001-06-08,15:50:00,13.8,13.85,13.7,13.79,3700,18700,13.387624567058811,22400
64,65,2001-06-08,15:55:00,13.8,13.8,13.76,13.76,2700,19200,13.358499930582257,21900
65,66,2001-06-08,16:00:00,13.76,13.8,13.75,13.75,3800,31200,13.348791718423405,35000
66,67,2001-06-11,09:40:00,13.5,13.5,13.45,13.45,0,125400,13.0575453536578,125400
67,68,2001-06-11,09:45:00,13.51,13.7,13.51,13.51,7400,9700,13.11579462661092,17100
68,69,2001-06-11,09:50:00,13.58,13.58,13.4,13.5,35800,52600,13.106086414452069,88400
69,70,2001-06-11,09:55:00,13.4,13.55,13.4,13.55,5500,9300,13.154627475246336,14800
70,71,2001-06-11,10:00:00,13.55,13.55,13.4,13.5,65900,1600,13.106086414452069,67500
71,72,2001-06-11,10:05:00,13.5,13.55,13.5,13.5,300,4200,13.106086414452069,4500
72,73,2001-06-11,10:10:00,13.5,13.5,13.45,13.5,2500,8000,13.106086414452069,10500
73,74,2001-06-11,10:15:00,13.5,13.6,13.5,13.6,11700,200,13.2031685360406,11900
74,75,2001-06-11,10:20:00,13.6,13.75,13.6,13.7,27200,100,13.300250657629132,27300
75,76,2001-06-11,10:25:00,13.65,13.65,13.55,13.55,0,4200,13.154627475246336,4200
76,77,2001-06-11,10:30:00,13.55,13.55,13.55,13.55,0,5900,13.154627475246336,5900
77,78,2001-06-11,10:35:00,13.55,13.55,13.5,13.51,200,4600,13.11579462661092,4800
78,79,2001-06-11,10:40:00,13.5,13.58,13.5,13.5,500,12900,13.106086414452069,13400
