,id,date,time,open,high,low,close,up,down,close_adj,volume
0,1,1998-01-02,09:35:00,9.16,9.16,9.16,9.16,400,0,8.770904488044692,400
1,2,1998-01-02,09:45:00,9.25,9.25,9.22,9.22,2000,0,8.828355827486034,2000
2,3,1998-01-02,09:50:00,9.19,9.25,9.19,9.22,66800,0,8.828355827486034,66800
3,4,1998-01-02,09:55:00,9.2,9.2,9.19,9.19,11600,0,8.799630157765364,11600
4,5,1998-01-02,10:00:00,9.2,9.2,9.19,9.19,22000,0,8.799630157765364,22000
5,6,1998-01-02,10:05:00,9.17,9.17,9.14,9.14,8800,0,8.751754041564247,8800
6,7,1998-01-02,10:10:00,9.13,9.16,9.09,9.09,62400,0,8.703877925363129,62400
7,8,1998-01-02,10:15:00,9.06,9.08,9.03,9.03,22000,0,8.646426585921787,22000
8,9,1998-01-02,10:20:00,9.0,9.0,8.98,8.98,12000,0,8.59855046972067,12000
9,10,1998-01-02,10:25:00,8.98,8.98,8.97,8.97,3600,0,8.588975246480446,3600
10,11,1998-01-02,10:30:00,8.98,8.98,8.97,8.98,8400,0,8.59855046972067,8400
11,12,1998-01-02,10:35:00,8.98,8.98,8.97,8.97,14800,0,8.588975246480446,14800
12,13,1998-01-02,10:40:00,8.97,8.98,8.97,8.98,5600,0,8.59855046972067,5600
13,14,1998-01-02,10:45:00,8.98,9.0,8.97,8.98,22400,0,8.59855046972067,22400
14,15,1998-01-02,10:50:00,9.0,9.0,9.0,9.0,24800,0,8.617700916201118,24800
15,16,1998-01-02,10:55:00,9.03,9.03,9.0,9.0,2400,0,8.617700916201118,2400
16,17,1998-01-02,11:00:00,9.03,9.03,9.0,9.03,48000,0,8.646426585921787,48000
17,18,1998-01-02,11:05:00,9.03,9.03,9.02,9.03,10000,0,8.646426585921787,10000
18,19,1998-01-02,11:10:00,9.0,9.0,9.0,9.0,8400,0,8.617700916201118,8400
19,20,1998-01-02,11:15:00,9.0,9.0,9.0,9.0,1200,0,8.617700916201118,1200
20,21,1998-01-02,11:20:00,9.03,9.03,9.03,9.03,4000,0,8.646426585921787,4000
21,22,1998-01-02,11:25:00,9.03,9.03,9.03,9.03,4000,0,8.646426585921787,4000
22,23,1998-01-02,11:35:00,9.02,9.03,9.02,9.03,5600,0,8.646426585921787,5600
23,24,1998-01-02,11:40:00,9.03,9.06,9.03,9.06,21200,0,8.675152255642459,21200
24,25,1998-01-02,11:45:00,9.03,9.06,9.02,9.02,32000,0,8.636851362681563,32000
25,26,1998-01-02,11:50:00,9.09,9.13,9.09,9.13,10800,0,8.742178818324023,10800
26,27,1998-01-02,11:55:00,9.13,9.16,9.13,9.16,20800,0,8.770904488044692,20800
