,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,1998-01-02,09:35:00,775.73,774.84,538.857,775.73,774.84,7620,0,7620.0
1,1201669,1998-01-02,09:40:00,775.73,773.51,537.932,775.73,773.06,1699,0,1699.0
2,1201670,1998-01-02,09:45:00,773.51,773.95,538.238,773.95,773.06,1460,0,1460.0
3,1201671,1998-01-02,09:50:00,773.06,771.28,536.381,773.06,771.28,701,0,701.0
4,1201672,1998-01-02,09:55:00,771.28,769.51,535.15,771.28,769.51,883,0,883.0
5,1201673,1998-01-02,10:00:00,770.39,769.51,535.15,770.39,769.51,603,0,603.0
6,1201674,1998-01-02,10:05:00,770.39,772.62,537.313,772.62,770.39,3640,0,3640.0
7,1201675,1998-01-02,10:10:00,772.62,772.17,537.0,773.95,772.17,1489,0,1489.0
8,1201676,1998-01-02,10:15:00,773.06,771.28,536.381,773.95,771.28,5679,0,5679.0
9,1201677,1998-01-02,10:20:00,771.28,769.95,535.456,772.17,769.95,3302,0,3302.0
10,1201678,1998-01-02,10:25:00,770.39,770.39,535.762,771.28,770.39,1096,0,1096.0
11,1201679,1998-01-02,10:30:00,771.28,769.51,535.15,771.28,769.51,899,0,899.0
12,1201680,1998-01-02,10:35:00,769.95,771.28,536.381,771.73,769.95,2601,0,2601.0
13,1201681,1998-01-02,10:40:00,771.28,770.39,535.762,771.28,770.39,899,0,899.0
14,1201682,1998-01-02,10:45:00,770.39,769.95,535.456,770.39,769.95,435,0,435.0
15,1201683,1998-01-02,10:50:00,770.39,771.28,536.381,771.73,770.39,1405,0,1405.0
16,1201684,1998-01-02,10:55:00,771.73,769.95,535.456,771.73,769.95,772,0,772.0
17,1201685,1998-01-02,11:00:00,770.39,770.39,535.762,771.28,770.39,730,0,730.0
18,1201686,1998-01-02,11:05:00,770.39,770.39,535.762,770.39,769.95,968,0,968.0
19,1201687,1998-01-02,11:10:00,770.84,770.84,536.075,770.84,770.84,885,0,885.0
20,1201688,1998-01-02,11:15:00,770.39,770.84,536.075,770.84,770.39,112,0,112.0
21,1201689,1998-01-02,11:20:00,769.95,770.84,536.075,770.84,769.95,857,0,857.0
22,1201690,1998-01-02,11:25:00,769.95,769.95,535.456,770.84,769.95,1489,0,1489.0
23,1201691,1998-01-02,11:30:00,769.95,771.28,536.381,771.28,769.95,1616,0,1616.0
24,1201692,1998-01-02,11:35:00,770.39,769.95,535.456,770.39,769.95,562,0,562.0
25,1201693,1998-01-02,11:40:00,771.28,771.73,536.694,772.17,771.28,1896,0,1896.0
26,1201694,1998-01-02,11:45:00,771.28,771.28,536.381,771.28,770.39,3796,0,3796.0
27,1201695,1998-01-02,11:50:00,771.28,771.28,536.381,771.28,771.28,534,0,534.0
28,1201696,1998-01-02,11:55:00,770.39,771.28,536.381,771.28,769.95,379,0,379.0
29,1201697,1998-01-02,12:00:00,770.84,771.28,536.381,771.28,769.95,449,0,449.0
30,1201698,1998-01-02,12:05:00,771.28,770.39,535.762,771.28,769.95,252,0,252.0
31,1201699,1998-01-02,12:10:00,771.28,770.84,536.075,771.73,770.84,603,0,603.0
32,1201700,1998-01-02,12:15:00,771.28,771.28,536.381,771.73,771.28,98,0,98.0
33,1201701,1998-01-02,12:25:00,771.73,772.17,537.0,772.17,771.73,674,0,674.0
34,1201702,1998-01-02,12:30:00,772.17,771.73,536.694,772.17,771.28,98,0,98.0
35,1201703,1998-01-02,12:35:00,773.06,774.84,538.857,774.84,773.06,1349,0,1349.0
36,1201704,1998-01-02,12:40:00,773.95,773.95,538.238,773.95,773.06,602,0,602.0
37,1201705,1998-01-02,12:45:00,775.28,776.62,540.095,776.62,774.39,1376,0,1376.0
38,1201706,1998-01-02,12:50:00,775.73,773.06,537.619,776.17,773.06,1067,0,1067.0
39,1201707,1998-01-02,12:55:00,773.06,774.39,538.544,774.39,773.06,238,0,238.0
40,1201708,1998-01-02,13:00:00,775.28,774.39,538.544,775.28,774.39,210,0,210.0
41,1201709,1998-01-02,13:05:00,773.06,773.06,537.619,773.95,773.06,337,0,337.0
42,1201710,1998-01-02,13:15:00,773.95,772.17,537.0,773.95,772.17,490,0,490.0
43,1201711,1998-01-02,13:20:00,771.28,771.28,536.381,771.28,771.28,196,0,196.0
44,1201712,1998-01-02,13:25:00,771.28,771.73,536.694,771.73,771.28,56,0,56.0
45,1201713,1998-01-02,13:30:00,772.17,770.84,536.075,772.17,770.84,378,0,378.0
46,1201714,1998-01-02,13:35:00,770.84,770.39,535.762,770.84,770.39,435,0,435.0
47,1201715,1998-01-02,13:40:00,769.95,769.95,535.456,769.95,769.95,3697,0,3697.0
48,1201716,1998-01-02,13:45:00,770.84,769.06,534.837,770.84,769.06,3908,0,3908.0
49,1201717,1998-01-02,13:50:00,768.62,768.62,534.531,768.62,768.62,126,0,126.0
50,1201718,1998-01-02,13:55:00,769.06,769.95,535.456,769.95,768.62,308,0,308.0
51,1201719,1998-01-02,14:05:00,769.51,769.06,534.837,770.39,769.06,1432,0,1432.0
52,1201720,1998-01-02,14:10:00,769.51,769.51,535.15,769.51,769.51,140,0,140.0
53,1201721,1998-01-02,14:15:00,769.51,771.28,536.381,771.28,769.51,617,0,617.0
54,1201722,1998-01-02,14:20:00,771.73,771.73,536.694,771.73,771.73,84,0,84.0
55,1201723,1998-01-02,14:25:00,771.28,771.28,536.381,771.28,771.28,224,0,224.0
56,1201724,1998-01-02,14:30:00,771.28,769.95,535.456,771.28,769.95,575,0,575.0
57,1201725,1998-01-02,14:35:00,769.95,770.39,535.762,770.39,769.51,800,0,800.0
58,1201726,1998-01-02,14:40:00,769.51,770.84,536.075,770.84,769.51,252,0,252.0
59,1201727,1998-01-02,14:45:00,769.06,766.84,533.293,769.06,766.84,4625,0,4625.0
60,1201728,1998-01-02,14:50:00,766.84,763.73,531.13,766.84,763.73,3992,0,3992.0
61,1201729,1998-01-02,14:55:00,764.62,764.62,531.749,764.62,763.73,3120,0,3120.0
62,1201730,1998-01-02,15:00:00,764.62,764.62,531.749,764.62,764.62,238,0,238.0
63,1201731,1998-01-02,15:05:00,764.62,765.51,532.368,765.51,764.62,997,0,997.0
64,1201732,1998-01-02,15:10:00,765.51,765.51,532.368,765.51,765.51,787,0,787.0
65,1201733,1998-01-02,15:15:00,766.84,765.95,532.674,766.84,765.95,1067,0,1067.0
66,1201734,1998-01-02,15:20:00,765.95,766.84,533.293,766.84,765.95,140,0,140.0
67,1201735,1998-01-02,15:25:00,765.95,768.62,534.531,769.06,765.95,1432,0,1432.0
68,1201736,1998-01-02,15:30:00,767.73,768.17,534.218,768.17,767.73,266,0,266.0
69,1201737,1998-01-02,15:35:00,768.17,768.17,534.218,768.17,768.17,927,0,927.0
70,1201738,1998-01-02,15:40:00,768.17,768.17,534.218,768.17,768.17,126,0,126.0
71,1201739,1998-01-02,15:45:00,768.17,768.62,534.531,768.62,768.17,1334,0,1334.0
72,1201740,1998-01-02,15:50:00,769.95,772.62,537.313,773.51,769.95,1769,0,1769.0
73,1201741,1998-01-02,15:55:00,773.95,773.51,537.932,774.84,773.06,1868,0,1868.0
74,1201742,1998-01-02,16:00:00,773.06,773.06,537.619,773.06,772.62,3162,0,3162.0
75,1201743,1998-01-05,09:35:00,775.73,776.62,540.095,776.62,775.28,8900,0,8900.0
76,1201744,1998-01-05,09:40:00,776.62,775.28,539.163,776.62,775.28,814,0,814.0
77,1201745,1998-01-05,09:45:00,775.28,773.06,537.619,775.28,773.06,1925,0,1925.0
78,1201746,1998-01-05,09:50:00,773.51,773.51,537.932,773.51,773.06,1881,0,1881.0
79,1201747,1998-01-05,09:55:00,773.95,774.39,538.544,774.39,773.95,3965,0,3965.0
80,1201748,1998-01-05,10:00:00,773.06,772.62,537.313,773.06,771.73,2051,0,2051.0
81,1201749,1998-01-05,10:05:00,772.62,772.62,537.313,772.62,771.73,1939,0,1939.0
82,1201750,1998-01-05,10:10:00,772.62,771.73,536.694,772.62,771.73,5666,0,5666.0
83,1201751,1998-01-05,10:15:00,771.73,772.62,537.313,772.62,771.73,9180,0,9180.0
84,1201752,1998-01-05,10:20:00,772.62,771.73,536.694,772.62,771.73,827,0,827.0
85,1201753,1998-01-05,10:25:00,772.17,772.62,537.313,772.62,771.73,2107,0,2107.0
86,1201754,1998-01-05,10:30:00,771.73,771.73,536.694,771.73,771.73,14,0,14.0
87,1201755,1998-01-05,10:35:00,771.73,771.28,536.381,772.17,771.28,4005,0,4005.0
88,1201756,1998-01-05,10:40:00,771.28,772.62,537.313,772.62,771.28,1614,0,1614.0
89,1201757,1998-01-05,10:45:00,772.17,770.39,535.762,772.17,770.39,2348,0,2348.0
90,1201758,1998-01-05,10:50:00,769.51,766.84,533.293,769.51,766.84,2558,0,2558.0
91,1201759,1998-01-05,10:55:00,767.73,769.06,534.837,769.51,767.73,3937,0,3937.0
92,1201760,1998-01-05,11:00:00,768.17,769.06,534.837,769.51,768.17,2079,0,2079.0
93,1201761,1998-01-05,11:05:00,769.06,769.06,534.837,769.06,768.17,1221,0,1221.0
94,1201762,1998-01-05,11:10:00,769.06,769.95,535.456,769.95,769.06,323,0,323.0
95,1201763,1998-01-05,11:15:00,769.95,770.84,536.075,770.84,769.06,998,0,998.0
