,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1201668,1998-01-02,09:35:00,5.0,5.0,5.0,5.0,4.98,16800,0,16800.0
1,1201669,1998-01-02,09:40:00,5.0,5.0,5.0,5.0,5.0,8400,0,8400.0
2,1201670,1998-01-02,09:55:00,4.94,4.94,4.94,4.94,4.94,12000,0,12000.0
3,1201671,1998-01-02,10:00:00,4.94,4.93,4.93,4.94,4.93,6000,0,6000.0
4,1201672,1998-01-02,10:05:00,4.93,4.92,4.92,4.93,4.89,144000,0,144000.0
5,1201673,1998-01-02,10:15:00,4.89,4.87,4.87,4.89,4.87,40800,0,40800.0
6,1201674,1998-01-02,10:20:00,4.87,4.84,4.84,4.88,4.83,94800,0,94800.0
7,1201675,1998-01-02,10:25:00,4.87,4.81,4.81,4.87,4.81,81600,0,81600.0
8,1201676,1998-01-02,10:30:00,4.8,4.8,4.8,4.8,4.8,25200,0,25200.0
9,1201677,1998-01-02,10:35:00,4.8,4.81,4.81,4.82,4.8,68400,0,68400.0
10,1201678,1998-01-02,10:40:00,4.85,4.85,4.85,4.85,4.85,12000,0,12000.0
11,1201679,1998-01-02,10:45:00,4.85,4.83,4.83,4.85,4.83,14400,0,14400.0
12,1201680,1998-01-02,10:55:00,4.85,4.87,4.87,4.87,4.84,86400,0,86400.0
13,1201681,1998-01-02,11:00:00,4.9,4.9,4.9,4.9,4.9,6000,0,6000.0
14,1201682,1998-01-02,11:05:00,4.83,4.87,4.87,4.87,4.83,6000,0,6000.0
15,1201683,1998-01-02,11:25:00,4.87,4.87,4.87,4.87,4.87,2400,0,2400.0
16,1201684,1998-01-02,11:35:00,4.81,4.81,4.81,4.81,4.81,1200,0,1200.0
17,1201685,1998-01-02,11:45:00,4.81,4.81,4.81,4.81,4.81,31200,0,31200.0
18,1201686,1998-01-02,11:55:00,4.9,4.9,4.9,4.9,4.9,1200,0,1200.0
19,1201687,1998-01-02,12:05:00,4.89,4.89,4.89,4.92,4.87,153600,0,153600.0
20,1201688,1998-01-02,12:10:00,4.89,4.89,4.89,4.89,4.89,24000,0,24000.0
21,1201689,1998-01-02,12:15:00,4.9,4.87,4.87,4.9,4.87,145200,0,145200.0
22,1201690,1998-01-02,12:30:00,4.82,4.82,4.82,4.83,4.82,4800,0,4800.0
23,1201691,1998-01-02,12:35:00,4.89,4.89,4.89,4.89,4.89,2400,0,2400.0
24,1201692,1998-01-02,12:40:00,4.87,4.89,4.89,4.89,4.87,9600,0,9600.0
25,1201693,1998-01-02,12:45:00,4.9,4.87,4.87,4.9,4.87,38400,0,38400.0
26,1201694,1998-01-02,12:50:00,4.85,4.85,4.85,4.85,4.85,3600,0,3600.0
27,1201695,1998-01-02,13:10:00,4.83,4.83,4.83,4.83,4.83,36000,0,36000.0
28,1201696,1998-01-02,13:15:00,4.83,4.89,4.89,4.89,4.83,36000,0,36000.0
29,1201697,1998-01-02,13:20:00,4.89,4.89,4.89,4.89,4.89,3600,0,3600.0
