,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1,1998-01-02,09:40:00,41.09,41.19,24.3599,41.19,41.09,162800,0,162800.0
1,2,1998-01-02,09:45:00,41.25,41.44,24.5077,41.44,41.25,33600,0,33600.0
2,3,1998-01-02,09:50:00,41.44,41.38,24.4722,41.47,41.34,22800,0,22800.0
3,4,1998-01-02,09:55:00,41.38,41.13,24.3244,41.38,41.13,23200,0,23200.0
4,5,1998-01-02,10:00:00,41.13,41.13,24.3244,41.19,41.13,25800,0,25800.0
5,6,1998-01-02,10:05:00,41.09,41.03,24.2652,41.09,41.0,29200,0,29200.0
6,7,1998-01-02,10:10:00,41.03,40.97,24.2298,41.03,40.91,54600,0,54600.0
7,8,1998-01-02,10:15:00,40.94,41.0,24.2475,41.03,40.94,56200,0,56200.0
8,9,1998-01-02,10:20:00,40.94,40.94,24.212,41.0,40.94,10200,0,10200.0
9,10,1998-01-02,10:25:00,40.94,40.97,24.2298,40.97,40.88,24800,0,24800.0
10,11,1998-01-02,10:30:00,40.94,41.0,24.2475,41.0,40.94,10600,0,10600.0
11,12,1998-01-02,10:35:00,41.0,41.16,24.3421,41.25,40.97,40600,0,40600.0
12,13,1998-01-02,10:40:00,41.13,41.28,24.4131,41.28,41.13,23400,0,23400.0
13,14,1998-01-02,10:45:00,41.25,41.31,24.4308,41.31,41.25,10800,0,10800.0
14,15,1998-01-02,10:50:00,41.31,41.41,24.49,41.44,41.31,57600,0,57600.0
15,16,1998-01-02,10:55:00,41.44,41.31,24.4308,41.44,41.31,34800,0,34800.0
16,17,1998-01-02,11:00:00,41.28,41.25,24.3954,41.28,41.25,36600,0,36600.0
17,18,1998-01-02,11:05:00,41.25,41.19,24.3599,41.28,41.19,7000,0,7000.0
18,19,1998-01-02,11:10:00,41.19,41.22,24.3776,41.22,41.19,17000,0,17000.0
19,20,1998-01-02,11:15:00,41.25,41.25,24.3954,41.25,41.22,36000,0,36000.0
20,21,1998-01-02,11:20:00,41.25,41.22,24.3776,41.28,41.22,7400,0,7400.0
21,22,1998-01-02,11:25:00,41.25,41.22,24.3776,41.25,41.22,16800,0,16800.0
22,23,1998-01-02,11:30:00,41.19,41.25,24.3954,41.25,41.19,29400,0,29400.0
23,24,1998-01-02,11:35:00,41.25,41.19,24.3599,41.25,41.19,5800,0,5800.0
24,25,1998-01-02,11:40:00,41.25,41.25,24.3954,41.25,41.25,800,0,800.0
25,26,1998-01-02,11:45:00,41.19,41.22,24.3776,41.22,41.19,4200,0,4200.0
26,27,1998-01-02,11:50:00,41.19,41.19,24.3599,41.19,41.19,9000,0,9000.0
27,28,1998-01-02,11:55:00,41.19,41.25,24.3954,41.25,41.19,3800,0,3800.0
28,29,1998-01-02,12:00:00,41.22,41.25,24.3954,41.25,41.22,8000,0,8000.0
29,30,1998-01-02,12:05:00,41.25,41.25,24.3954,41.25,41.25,14800,0,14800.0
30,31,1998-01-02,12:10:00,41.22,41.25,24.3954,41.25,41.22,4000,0,4000.0
31,32,1998-01-02,12:15:00,41.25,41.25,24.3954,41.25,41.25,10800,0,10800.0
32,33,1998-01-02,12:20:00,41.25,41.28,24.4131,41.28,41.25,35600,0,35600.0
33,34,1998-01-02,12:25:00,41.25,41.25,24.3954,41.25,41.25,200,0,200.0
34,35,1998-01-02,12:30:00,41.28,41.25,24.3954,41.28,41.25,4200,0,4200.0
35,36,1998-01-02,12:35:00,41.28,41.25,24.3954,41.31,41.25,59200,0,59200.0
36,37,1998-01-02,12:40:00,41.31,41.25,24.3954,41.31,41.25,24200,0,24200.0
37,38,1998-01-02,12:45:00,41.25,41.28,24.4131,41.31,41.25,16400,0,16400.0
38,39,1998-01-02,12:50:00,41.28,41.31,24.4308,41.31,41.28,4400,0,4400.0
39,40,1998-01-02,12:55:00,41.28,41.28,24.4131,41.31,41.28,1600,0,1600.0
40,41,1998-01-02,13:00:00,41.31,41.31,24.4308,41.31,41.31,1600,0,1600.0
41,42,1998-01-02,13:05:00,41.31,41.31,24.4308,41.31,41.28,6200,0,6200.0
42,43,1998-01-02,13:10:00,41.38,41.38,24.4722,41.38,41.38,112000,0,112000.0
43,44,1998-01-02,13:15:00,41.38,41.38,24.4722,41.38,41.34,22200,0,22200.0
44,45,1998-01-02,13:20:00,41.38,41.38,24.4722,41.38,41.38,163000,0,163000.0
45,46,1998-01-02,13:25:00,41.38,41.38,24.4722,41.38,41.38,104800,0,104800.0
46,47,1998-01-02,13:30:00,41.41,41.38,24.4722,41.44,41.38,6000,0,6000.0
47,48,1998-01-02,13:35:00,41.38,41.38,24.4722,41.38,41.34,21400,0,21400.0
48,49,1998-01-02,13:40:00,41.34,41.38,24.4722,41.38,41.34,2800,0,2800.0
49,50,1998-01-02,13:45:00,41.38,41.38,24.4722,41.38,41.38,53600,0,53600.0
50,51,1998-01-02,13:50:00,41.38,41.38,24.4722,41.41,41.38,23000,0,23000.0
51,52,1998-01-02,13:55:00,41.38,41.38,24.4722,41.41,41.38,11600,0,11600.0
