,id,date,time,open,close,close_adj,high,low,up,down,volume
0,1,1998-01-02,09:35:00,14.58,14.69,9.51466,14.69,14.58,1788641,0,1788640.0
1,2,1998-01-02,09:40:00,14.65,14.71,9.52761,14.71,14.65,1311254,0,1311250.0
2,3,1998-01-02,09:45:00,14.69,14.74,9.54704,14.75,14.69,1239247,0,1239250.0
3,4,1998-01-02,09:50:00,14.75,14.74,9.54704,14.76,14.73,860539,0,860539.0
4,5,1998-01-02,09:55:00,14.74,14.68,9.50818,14.74,14.68,1060560,0,1060560.0
5,6,1998-01-02,10:00:00,14.69,14.69,9.51466,14.71,14.68,692520,0,692520.0
6,7,1998-01-02,10:05:00,14.68,14.67,9.50171,14.7,14.65,1486385,0,1486380.0
7,8,1998-01-02,10:10:00,14.67,14.65,9.48875,14.67,14.64,796530,0,796530.0
8,9,1998-01-02,10:15:00,14.65,14.64,9.48228,14.74,14.64,917433,0,917433.0
9,10,1998-01-02,10:20:00,14.64,14.65,9.48875,14.67,14.62,1336147,0,1336150.0
10,11,1998-01-02,10:25:00,14.66,14.71,9.52761,14.71,14.64,739634,0,739634.0
11,12,1998-01-02,10:30:00,14.71,14.71,9.52761,14.71,14.68,960994,0,960994.0
12,13,1998-01-02,10:35:00,14.69,14.74,9.54704,14.74,14.67,907654,0,907654.0
13,14,1998-01-02,10:40:00,14.74,14.77,9.56648,14.77,14.72,1177907,0,1177910.0
14,15,1998-01-02,10:45:00,14.76,14.77,9.56648,14.78,14.72,368039,0,368039.0
15,16,1998-01-02,10:50:00,14.74,14.77,9.56648,14.79,14.74,937879,0,937879.0
16,17,1998-01-02,10:55:00,14.77,14.78,9.57295,14.79,14.76,683629,0,683629.0
17,18,1998-01-02,11:00:00,14.79,14.79,9.57943,14.79,14.74,641847,0,641847.0
18,19,1998-01-02,11:05:00,14.79,14.78,9.57295,14.79,14.76,1244581,0,1244580.0
19,20,1998-01-02,11:10:00,14.77,14.76,9.56,14.78,14.74,864983,0,864983.0
20,21,1998-01-02,11:15:00,14.76,14.73,9.54057,14.76,14.72,1362815,0,1362820.0
21,22,1998-01-02,11:20:00,14.72,14.74,9.54704,14.76,14.72,533390,0,533390.0
22,23,1998-01-02,11:25:00,14.74,14.74,9.54704,14.75,14.73,512944,0,512944.0
23,24,1998-01-02,11:30:00,14.74,14.76,9.56,14.76,14.74,195575,0,195575.0
24,25,1998-01-02,11:35:00,14.76,14.74,9.54704,14.76,14.73,130678,0,130678.0
25,26,1998-01-02,11:40:00,14.73,14.74,9.54704,14.74,14.69,673851,0,673851.0
26,27,1998-01-02,11:45:00,14.71,14.69,9.51466,14.71,14.68,520055,0,520055.0
27,28,1998-01-02,11:50:00,14.68,14.71,9.52761,14.71,14.68,366260,0,366260.0
28,29,1998-01-02,11:55:00,14.69,14.7,9.52114,14.71,14.69,236467,0,236467.0
29,30,1998-01-02,12:00:00,14.71,14.69,9.51466,14.72,14.69,664072,0,664072.0
30,31,1998-01-02,12:05:00,14.69,14.71,9.52761,14.72,14.69,143124,0,143124.0
31,32,1998-01-02,12:10:00,14.7,14.7,9.52114,14.74,14.7,240912,0,240912.0
32,33,1998-01-02,12:15:00,14.7,14.7,9.52114,14.72,14.69,174239,0,174239.0
33,34,1998-01-02,12:20:00,14.7,14.7,9.52114,14.71,14.7,69338,0,69338.0
34,35,1998-01-02,12:25:00,14.71,14.7,9.52114,14.71,14.7,158236,0,158236.0
35,36,1998-01-02,12:30:00,14.71,14.7,9.52114,14.71,14.7,129789,0,129789.0
36,37,1998-01-02,12:35:00,14.7,14.72,9.53409,14.72,14.7,94229,0,94229.0
37,38,1998-01-02,12:40:00,14.71,14.72,9.53409,14.74,14.71,416932,0,416932.0
38,39,1998-01-02,12:45:00,14.71,14.72,9.53409,14.73,14.71,43556,0,43556.0
39,40,1998-01-02,12:50:00,14.71,14.72,9.53409,14.72,14.7,89784,0,89784.0
40,41,1998-01-02,12:55:00,14.71,14.71,9.52761,14.72,14.7,123566,0,123566.0
41,42,1998-01-02,13:00:00,14.71,14.71,9.52761,14.72,14.71,214243,0,214243.0
42,43,1998-01-02,13:05:00,14.71,14.71,9.52761,14.72,14.71,266693,0,266693.0
43,44,1998-01-02,13:10:00,14.71,14.71,9.52761,14.73,14.69,117343,0,117343.0
44,45,1998-01-02,13:15:00,14.72,14.7,9.52114,14.72,14.7,353814,0,353814.0
45,46,1998-01-02,13:20:00,14.7,14.7,9.52114,14.72,14.7,106675,0,106675.0
46,47,1998-01-02,13:25:00,14.7,14.71,9.52761,14.71,14.69,72893,0,72893.0
47,48,1998-01-02,13:30:00,14.71,14.71,9.52761,14.71,14.68,150236,0,150236.0
48,49,1998-01-02,13:35:00,14.68,14.68,9.50818,14.71,14.67,752081,0,752081.0
49,50,1998-01-02,13:40:00,14.69,14.68,9.50818,14.69,14.68,72004,0,72004.0
